submissionid,submissiondatetime,deviceid,username,User_s_,Survey_Start_Time,Study_Area,Other_Study_Area,GNSS_Setup,Other_GNSS_Setup,Pre_Survey_Notes,Sampling_Design,Plot_ID,GNSS_Used_,GNSS_Status,GNSS_Height_Rover_to_Snow__cm_,Point_Observation.Date___Time_of_Point_Observation,Point_Observation.Approx__Location,Point_Observation.Type_of_Plot,Point_Observation.Cardinal_Direction,Point_Observation.Distance_From_Centre__m_,Point_Observation.Custom_Distance_From_Centre__m_,Point_Observation.Sample_Type,Point_Observation.Tare_on_fish_scale_,Point_Observation.Tare_Weight__g_,Point_Observation.Multi_Part_Core_,Point_Observation.Core_Section_Number,Point_Observation.Depth__cm_,Point_Observation.Depth__cm_:timestamp,Point_Observation.Core_Length__cm_,Point_Observation.Plug__cm_,Point_Observation.Mass___Tube__g_,Point_Observation.Mass__g_,Point_Observation.Mass_Final__g_,Point_Observation.Retrieval____,Point_Observation.SWE__mm_,Point_Observation.Density,Point_Observation.Sample_Rating,Point_Observation.Point_Observation_Notes,Point_Observation.Picture,Snow_Pit_Measurenent.Distance_from_centre_of_plot__m_,Snow_Pit_Measurenent.Depth_above_ground__cm_,Snow_Pit_Measurenent.Temperature___C_,Snow_Pit_Measurenent.Density_Notes,Survey_End_TIme
56433727,2021-04-08 17:33:10 -07:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,Ab WM bf,4/5/2021 11:32,Englishman,,Other,,,,E1a,no,,,4/5/2021 11:15,,Cardinal 10 m,S,10,,Density,no,3840,yes,1a,145,4/5/2021 11:17,140,,4410,,570,100,41.137,,,,,,,,,
56433727,2021-04-08 17:33:10 -07:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,Ab WM bf,4/5/2021 11:32,Englishman,,Other,,,,E1a,no,,,,,Cardinal 10 m,S,10,,Density,no,3840,yes,1b,210,4/5/2021 11:23,75,,4230,,390,100,28.146,,,,,,,,,
56433727,2021-04-08 17:33:10 -07:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,Ab WM bf,4/5/2021 11:32,Englishman,,Other,,,,E1a,no,,,,,Cardinal 10 m,Centre,,,Depth,,,,,415,4/5/2021 11:22,,,,,,,,,,,https://drive.google.com/uc?id=1QBsjc1uGKz9iyiV_YZBWjCyq3i5e2nPL,,,,,
56433727,2021-04-08 17:33:10 -07:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,Ab WM bf,4/5/2021 11:32,Englishman,,Other,,,,E1a,no,,,,,Cardinal 10 m,S,2.5,,Depth,,,,,392,4/5/2021 11:24,,,,,,,,,,,,,,,,
56433727,2021-04-08 17:33:10 -07:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,Ab WM bf,4/5/2021 11:32,Englishman,,Other,,,,E1a,no,,,,,Cardinal 10 m,S,5,,Depth,,,,,360,4/5/2021 11:24,,,,,,,,,,,,,,,,
56433727,2021-04-08 17:33:10 -07:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,Ab WM bf,4/5/2021 11:32,Englishman,,Other,,,,E1a,no,,,,,Cardinal 10 m,S,7.5,,Depth,,,,,371,4/5/2021 11:25,,,,,,,,,,,,,,,,
56433727,2021-04-08 17:33:10 -07:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,Ab WM bf,4/5/2021 11:32,Englishman,,Other,,,,E1a,no,,,,,Cardinal 10 m,S,10,,Density,no,3840,yes,1c,,,,,,,,,,,,,,,,,,
56433727,2021-04-08 17:33:10 -07:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,Ab WM bf,4/5/2021 11:32,Englishman,,Other,,,,E1a,no,,,,,Cardinal 10 m,N,2.5,,Depth,,,,,433,4/5/2021 11:27,,,,,,,,,,,,,,,,
56433727,2021-04-08 17:33:10 -07:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,Ab WM bf,4/5/2021 11:32,Englishman,,Other,,,,E1a,no,,,,,Cardinal 10 m,N,5,,Depth,,,,,440,4/5/2021 11:28,,,,,,,,,,,,,,,,
56433727,2021-04-08 17:33:10 -07:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,Ab WM bf,4/5/2021 11:32,Englishman,,Other,,,,E1a,no,,,,,Cardinal 10 m,N,7.5,,Depth,,,,,422,4/5/2021 11:29,,,,,,,,,,,,,,,,
