submissionid,submissiondatetime,deviceid,username,User_s_,Survey_Start_Time,Study_Area,Other_Study_Area,GNSS_Setup,Other_GNSS_Setup,Pre_Survey_Notes,Sampling_Design,Plot_ID,GNSS_Used_,GNSS_Status,GNSS_Height_Rover_to_Snow__cm_,Point_Observation.Date___Time_of_Point_Observation,Point_Observation.Approx__Location,Point_Observation.Type_of_Plot,Point_Observation.Cardinal_Direction,Point_Observation.Distance_From_Centre__m_,Point_Observation.Custom_Distance_From_Centre__m_,Point_Observation.Sample_Type,Point_Observation.Tare_on_fish_scale_,Point_Observation.Tare_Weight__g_,Point_Observation.Multi_Part_Core_,Point_Observation.Core_Section_Number,Point_Observation.Depth__cm_,Point_Observation.Depth__cm_:timestamp,Point_Observation.Core_Length__cm_,Point_Observation.Plug__cm_,Point_Observation.Mass___Tube__g_,Point_Observation.Mass__g_,Point_Observation.Mass_Final__g_,Point_Observation.Retrieval____,Point_Observation.SWE__mm_,Point_Observation.Density,Point_Observation.Sample_Rating,Point_Observation.Point_Observation_Notes,Point_Observation.Picture,Snow_Pit_Measurenent.Distance_from_centre_of_plot__m_,Snow_Pit_Measurenent.Depth_above_ground__cm_,Snow_Pit_Measurenent.Temperature___C_,Snow_Pit_Measurenent.Density_Notes,Survey_End_TIme
55579512,2021-03-09 13:53:08 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,Ac rw eh,3/9/2021 13:52,Cruickshank,,Septentrio,,Sub 40 cm from snow stake depths **,,Cru wx base stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55579539,2021-03-09 11:50:24 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,"Rw, AC, EH",3/9/2021 11:38,Cruickshank,,Septentrio,,Snow stakes at wx stn. Stakes labelled 1-5 from left to right. ,,Cru_wx_stn,yes,FIX,2,3/9/2021 11:40,,Custom,,,,Depth,,,,,450,3/9/2021 11:40,,,,,,,,,Excellent,Cru_wx_stake1,,,,,,3/9/2021 11:47
55579539,2021-03-09 11:50:24 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,"Rw, AC, EH",3/9/2021 11:38,Cruickshank,,Septentrio,,Snow stakes at wx stn. Stakes labelled 1-5 from left to right. ,,Cru_wx_stn,yes,FIX,2,,,Custom,,,,Depth,,,,,450,3/9/2021 11:41,,,,,,,,,Excellent,Cru_wx_stn_stake2,,,,,,3/9/2021 11:47
55579539,2021-03-09 11:50:24 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,"Rw, AC, EH",3/9/2021 11:38,Cruickshank,,Septentrio,,Snow stakes at wx stn. Stakes labelled 1-5 from left to right. ,,Cru_wx_stn,yes,FIX,2,,,Custom,,,,Depth,,,,,495,3/9/2021 11:43,,,,,,,,,Excellent,Cru_wx_stn_stake3,,,,,,3/9/2021 11:47
55579539,2021-03-09 11:50:24 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,"Rw, AC, EH",3/9/2021 11:38,Cruickshank,,Septentrio,,Snow stakes at wx stn. Stakes labelled 1-5 from left to right. ,,Cru_wx_stn,yes,FIX,2,,,Custom,,,,Depth,,,,,477,3/9/2021 11:45,,,,,,,,,Excellent,Cru_Wx_stn_stake4,,,,,,3/9/2021 11:47
55579539,2021-03-09 11:50:24 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,"Rw, AC, EH",3/9/2021 11:38,Cruickshank,,Septentrio,,Snow stakes at wx stn. Stakes labelled 1-5 from left to right. ,,Cru_wx_stn,yes,FIX,2,,,Custom,,,,Depth,,,,,475,3/9/2021 11:47,,,,,,,,,Excellent,Cru_wx_stn_stake5,https://drive.google.com/uc?id=19U6cZRRNqNC42Qt59-jsV_YKVI2-leVo,,,,,3/9/2021 11:47
55579542,2021-03-10 15:12:50 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,"Alex C., Rob W., Emily H.",3/10/2021 14:43,Cruickshank,,Septentrio,,,,CRU_E3S,yes,FIX,2,,,Cardinal 10 m,Centre,,,Density,no,3110,no,,336,3/10/2021 14:48,274,0,4430,,1320,100,95.264,0.348,Excellent,Hit rock on bottom; no plug,https://drive.google.com/uc?id=1tUBws2m7t2vBb4mfofJGYryxxp_0c_Jy,,,,,3/10/2021 15:12
55579542,2021-03-10 15:12:50 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,"Alex C., Rob W., Emily H.",3/10/2021 14:43,Cruickshank,,Septentrio,,,,CRU_E3S,yes,FIX,2,,,Cardinal 10 m,N,10,,Density,no,3110,yes,1a,300,3/10/2021 14:52,274,8,4200,,1090,100,78.665,0.296,Excellent,Went through tree,,,,,,3/10/2021 15:12
55579542,2021-03-10 15:12:50 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,"Alex C., Rob W., Emily H.",3/10/2021 14:43,Cruickshank,,Septentrio,,,,CRU_E3S,yes,FIX,2,,,Cardinal 10 m,N,7.5,,Depth,,,,,295,3/10/2021 14:46,,,,,,,,,Excellent,,,,,,,3/10/2021 15:12
55579542,2021-03-10 15:12:50 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,"Alex C., Rob W., Emily H.",3/10/2021 14:43,Cruickshank,,Septentrio,,,,CRU_E3S,yes,FIX,2,,,Cardinal 10 m,N,5,,Depth,,,,,250,3/10/2021 14:46,,,,,,,,,Excellent,50cm from tree,,,,,,3/10/2021 15:12
55579542,2021-03-10 15:12:50 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,"Alex C., Rob W., Emily H.",3/10/2021 14:43,Cruickshank,,Septentrio,,,,CRU_E3S,yes,FIX,2,,,Cardinal 10 m,N,2.5,,Depth,,,,,330,3/10/2021 14:47,,,,,,,,,Excellent,,,,,,,3/10/2021 15:12
55579542,2021-03-10 15:12:50 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,"Alex C., Rob W., Emily H.",3/10/2021 14:43,Cruickshank,,Septentrio,,,,CRU_E3S,yes,FIX,2,,,Cardinal 10 m,W,10,,Density,no,3110,yes,1a,380,3/10/2021 15:00,326,1,4630,,1520,100,109.698,0.338,Excellent,,,,,,,3/10/2021 15:12
55579542,2021-03-10 15:12:50 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,"Alex C., Rob W., Emily H.",3/10/2021 14:43,Cruickshank,,Septentrio,,,,CRU_E3S,yes,FIX,2,,,Cardinal 10 m,W,7.5,,Depth,,,,,379,3/10/2021 14:51,,,,,,,,,Excellent,,,,,,,3/10/2021 15:12
55579542,2021-03-10 15:12:50 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,"Alex C., Rob W., Emily H.",3/10/2021 14:43,Cruickshank,,Septentrio,,,,CRU_E3S,yes,FIX,2,,,Cardinal 10 m,W,5,,Depth,,,,,324,3/10/2021 14:51,,,,,,,,,Excellent,,,,,,,3/10/2021 15:12
55579542,2021-03-10 15:12:50 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,"Alex C., Rob W., Emily H.",3/10/2021 14:43,Cruickshank,,Septentrio,,,,CRU_E3S,yes,FIX,2,,,Cardinal 10 m,W,2.5,,Depth,,,,,335,3/10/2021 14:52,,,,,,,,,Excellent,,,,,,,3/10/2021 15:12
55579542,2021-03-10 15:12:50 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,"Alex C., Rob W., Emily H.",3/10/2021 14:43,Cruickshank,,Septentrio,,,,CRU_E3S,yes,FIX,2,,,Cardinal 10 m,N,10,,Density,no,3110,yes,1b,,,,,,,,,,,,,,,,,,3/10/2021 15:12
55579542,2021-03-10 15:12:50 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,"Alex C., Rob W., Emily H.",3/10/2021 14:43,Cruickshank,,Septentrio,,,,CRU_E3S,yes,FIX,2,,,Cardinal 10 m,E,10,,Density,no,3110,no,,352,3/10/2021 15:04,341,2,4340,,1230,100,88.769,0.262,Excellent,,,,,,,3/10/2021 15:12
55579542,2021-03-10 15:12:50 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,"Alex C., Rob W., Emily H.",3/10/2021 14:43,Cruickshank,,Septentrio,,,,CRU_E3S,yes,FIX,2,,,Cardinal 10 m,E,7.5,,Depth,,,,,277,3/10/2021 14:57,,,,,,,,,Excellent,Tree well,,,,,,3/10/2021 15:12
55579542,2021-03-10 15:12:50 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,"Alex C., Rob W., Emily H.",3/10/2021 14:43,Cruickshank,,Septentrio,,,,CRU_E3S,yes,FIX,2,,,Cardinal 10 m,E,5,,Depth,,,,,259,3/10/2021 14:59,,,,,,,,,Excellent,Exiting tree well,,,,,,3/10/2021 15:12
55579542,2021-03-10 15:12:50 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,"Alex C., Rob W., Emily H.",3/10/2021 14:43,Cruickshank,,Septentrio,,,,CRU_E3S,yes,FIX,2,,,Cardinal 10 m,E,2.5,,Depth,,,,,260,3/10/2021 15:01,,,,,,,,,Excellent,,,,,,,3/10/2021 15:12
55579542,2021-03-10 15:12:50 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,"Alex C., Rob W., Emily H.",3/10/2021 14:43,Cruickshank,,Septentrio,,,,CRU_E3S,yes,FIX,2,,,Cardinal 10 m,S,10,,Density,no,3110,no,,405,3/10/2021 15:03,327,2,4580,,1470,100,106.09,0.326,Excellent,,,,,,,3/10/2021 15:12
55579542,2021-03-10 15:12:50 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,"Alex C., Rob W., Emily H.",3/10/2021 14:43,Cruickshank,,Septentrio,,,,CRU_E3S,yes,FIX,2,,,Cardinal 10 m,S,7.5,,Depth,,,,,430,3/10/2021 15:03,,,,,,,,,Excellent,,,,,,,3/10/2021 15:12
55579542,2021-03-10 15:12:50 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,"Alex C., Rob W., Emily H.",3/10/2021 14:43,Cruickshank,,Septentrio,,,,CRU_E3S,yes,FIX,2,,,Cardinal 10 m,S,5,,Depth,,,,,390,3/10/2021 15:04,,,,,,,,,Excellent,,,,,,,3/10/2021 15:12
55579542,2021-03-10 15:12:50 -08:00,iPad_F38B7DE9-9E96-46F1-8A21-B55333832D55,CHRL-Warren Miller,"Alex C., Rob W., Emily H.",3/10/2021 14:43,Cruickshank,,Septentrio,,,,CRU_E3S,yes,FIX,2,,,Cardinal 10 m,S,2.5,,Depth,,,,,370,3/10/2021 15:04,,,,,,,,,Excellent,,,,,,,3/10/2021 15:12
55579552,2021-03-09 17:01:45 -08:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,AB WM BF,3/9/2021 16:36,Englishman,,Topcon,,"Ali’s left arm killed scale, no densites",,3091,yes,FLOAT,,,,Cardinal 10 m,S,2.5,,Depth,,,,,220,3/9/2021 16:39,,,,,,,,,Excellent,,,,,,,3/9/2021 17:01
55579552,2021-03-09 17:01:45 -08:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,AB WM BF,3/9/2021 16:36,Englishman,,Topcon,,"Ali’s left arm killed scale, no densites",,3091,yes,FLOAT,,,,Cardinal 10 m,S,5,,Depth,,,,,254,3/9/2021 16:42,,,,,,,,,Good,In trees ,,,,,,3/9/2021 17:01
55579552,2021-03-09 17:01:45 -08:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,AB WM BF,3/9/2021 16:36,Englishman,,Topcon,,"Ali’s left arm killed scale, no densites",,3091,yes,FLOAT,,,,Cardinal 10 m,S,7.5,,Depth,,,,,290,3/9/2021 16:42,,,,,,,,,Good,,,,,,,3/9/2021 17:01
55579552,2021-03-09 17:01:45 -08:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,AB WM BF,3/9/2021 16:36,Englishman,,Topcon,,"Ali’s left arm killed scale, no densites",,3091,yes,FLOAT,,,,Cardinal 10 m,S,10,,Depth,,,,,300,3/9/2021 16:43,,,,,,,,,Excellent,,https://drive.google.com/uc?id=1QumR59JHc7F79OD8zLOUEGaetdWLGX0q,,,,,3/9/2021 17:01
55579552,2021-03-09 17:01:45 -08:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,AB WM BF,3/9/2021 16:36,Englishman,,Topcon,,"Ali’s left arm killed scale, no densites",,3091,yes,FLOAT,,,,Cardinal 10 m,W,10,,Depth,,,,,270,3/9/2021 16:45,,,,,,,,,Excellent,,https://drive.google.com/uc?id=1_LVcyPYNSokyHEjiAFcPDwS3dnzMWuOb,,,,,3/9/2021 17:01
55579552,2021-03-09 17:01:45 -08:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,AB WM BF,3/9/2021 16:36,Englishman,,Topcon,,"Ali’s left arm killed scale, no densites",,3091,yes,FLOAT,,,,Cardinal 10 m,W,7.5,,Depth,,,,,210,3/9/2021 16:46,,,,,,,,,Excellent,,,,,,,3/9/2021 17:01
55579552,2021-03-09 17:01:45 -08:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,AB WM BF,3/9/2021 16:36,Englishman,,Topcon,,"Ali’s left arm killed scale, no densites",,3091,yes,FLOAT,,,,Cardinal 10 m,W,5,,Depth,,,,,260,3/9/2021 16:46,,,,,,,,,,,,,,,,3/9/2021 17:01
55579552,2021-03-09 17:01:45 -08:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,AB WM BF,3/9/2021 16:36,Englishman,,Topcon,,"Ali’s left arm killed scale, no densites",,3091,yes,FLOAT,,,,Cardinal 10 m,W,2.5,,Depth,,,,,240,3/9/2021 16:47,,,,,,,,,Excellent,,,,,,,3/9/2021 17:01
55579552,2021-03-09 17:01:45 -08:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,AB WM BF,3/9/2021 16:36,Englishman,,Topcon,,"Ali’s left arm killed scale, no densites",,3091,yes,FLOAT,,,,Cardinal 10 m,E,10,,Depth,,,,,252,3/9/2021 16:49,,,,,,,,,Excellent,,,,,,,3/9/2021 17:01
55579552,2021-03-09 17:01:45 -08:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,AB WM BF,3/9/2021 16:36,Englishman,,Topcon,,"Ali’s left arm killed scale, no densites",,3091,yes,FLOAT,,,,Cardinal 10 m,E,7.5,,Depth,,,,,290,3/9/2021 16:49,,,,,,,,,Excellent,,,,,,,3/9/2021 17:01
55579552,2021-03-09 17:01:45 -08:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,AB WM BF,3/9/2021 16:36,Englishman,,Topcon,,"Ali’s left arm killed scale, no densites",,3091,yes,FLOAT,,,,Cardinal 10 m,E,5,,Depth,,,,,275,3/9/2021 16:49,,,,,,,,,Excellent,,,,,,,3/9/2021 17:01
55579552,2021-03-09 17:01:45 -08:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,AB WM BF,3/9/2021 16:36,Englishman,,Topcon,,"Ali’s left arm killed scale, no densites",,3091,yes,FLOAT,,,,Cardinal 10 m,E,2.5,,Depth,,,,,230,3/9/2021 16:50,,,,,,,,,,,,,,,,3/9/2021 17:01
55579552,2021-03-09 17:01:45 -08:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,AB WM BF,3/9/2021 16:36,Englishman,,Topcon,,"Ali’s left arm killed scale, no densites",,3091,yes,FLOAT,,,,Cardinal 10 m,N,10,,Depth,,,,,270,3/9/2021 16:53,,,,,,,,,Excellent,,,,,,,3/9/2021 17:01
55579552,2021-03-09 17:01:45 -08:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,AB WM BF,3/9/2021 16:36,Englishman,,Topcon,,"Ali’s left arm killed scale, no densites",,3091,yes,FLOAT,,,,Cardinal 10 m,N,7.5,,Depth,,,,,246,3/9/2021 16:54,,,,,,,,,,,,,,,,3/9/2021 17:01
55579552,2021-03-09 17:01:45 -08:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,AB WM BF,3/9/2021 16:36,Englishman,,Topcon,,"Ali’s left arm killed scale, no densites",,3091,yes,FLOAT,,,,Cardinal 10 m,N,5,,Depth,,,,,220,3/9/2021 16:55,,,,,,,,,Excellent,,,,,,,3/9/2021 17:01
55579552,2021-03-09 17:01:45 -08:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,AB WM BF,3/9/2021 16:36,Englishman,,Topcon,,"Ali’s left arm killed scale, no densites",,3091,yes,FLOAT,,,,Cardinal 10 m,Centre,,,Depth,,,,,240,3/9/2021 16:57,,,,,,,,,Excellent,,,,,,,3/9/2021 17:01
